"","sum","sd","subj","upper","lower"
"X53",-0.734061324497002,0.00262580065510937,53,-0.731435523841893,-0.736687125152112
"X54",-0.644464454085076,0.00180761649602841,54,-0.642656837589047,-0.646272070581104
"X55",-0.617273108012912,0.00384366901380521,55,-0.613429438999107,-0.621116777026717
"X56",-0.770265382842502,0.00950406141048336,56,-0.760761321432019,-0.779769444252986
"X57",-0.762168597503636,0.00338223604325985,57,-0.758786361460376,-0.765550833546896
"X58",-0.64769060392266,0.00501425766923214,58,-0.642676346253428,-0.652704861591893
"X59",-0.621553272891411,0.00260706147197949,59,-0.618946211419432,-0.624160334363391
"X60",-0.650582243156094,0.0126427166829571,60,-0.637939526473137,-0.663224959839052
"X61",-0.683180542880578,0.000640123240940409,61,-0.682540419639637,-0.683820666121518
"X62",-0.806324916284355,0.00829954773812821,62,-0.798025368546227,-0.814624464022484
"X63",-0.438043954013753,0.0105763939141734,63,-0.42746756009958,-0.448620347927927
"X64",-0.699342193639661,0.00241409982598111,64,-0.69692809381368,-0.701756293465642
"X65",-0.647952328289669,0.00407157163379439,65,-0.643880756655875,-0.652023899923464
"X66",-0.716293111448826,0.00164366313431871,66,-0.714649448314507,-0.717936774583144
"X67",-0.565997518976647,0.00298441693008709,67,-0.56301310204656,-0.568981935906734
"X68",-0.647834253910292,0.00333996669330457,68,-0.644494287216988,-0.651174220603597
"X69",-0.739217241167775,0.00367342267017474,69,-0.7355438184976,-0.742890663837949
"X70",-0.595439100057121,0.00200044277203659,70,-0.593438657285085,-0.597439542829158
"X71",-0.734743769536111,0.00376488213290411,71,-0.730978887403207,-0.738508651669015
"X72",-0.734179175059064,0.00304136938113185,72,-0.731137805677932,-0.737220544440196
"X73",-0.762275260410685,0.00425110199213142,73,-0.758024158418554,-0.766526362402817
"X74",-0.705616259781789,0.00279252969884756,74,-0.702823730082942,-0.708408789480637
"X75",-0.488855613997007,0.00524088752468847,75,-0.483614726472318,-0.494096501521695
"X76",-0.701645380934797,0.00302611892935696,76,-0.69861926200544,-0.704671499864154
"X77",-0.748785021657818,0.00481125973488273,77,-0.743973761922936,-0.753596281392701
"X78",-0.605312472721065,0.00376026745482692,78,-0.601552205266238,-0.609072740175892
"X79",-0.411212864651123,0.0066871589437522,79,-0.40452570570737,-0.417900023594875
"X80",-0.667255103325512,0.00329158782418855,80,-0.663963515501324,-0.670546691149701
"X81",-0.729192590314726,0.00276914738421101,81,-0.726423442930515,-0.731961737698937
"X82",-0.653202569278461,0.00155214712827883,82,-0.651650422150182,-0.65475471640674
"X83",-0.75855862689133,0.00344988023655112,83,-0.755108746654779,-0.762008507127881
"X84",-0.700412903482141,0.00167425969536468,84,-0.698738643786776,-0.702087163177506
"X85",-0.696048636567894,0.00433843610208158,85,-0.691710200465813,-0.700387072669976
"X86",-0.541369311242942,0.0056439772095944,86,-0.535725334033348,-0.547013288452537
"X87",-0.503321351426395,0.00952811416616844,87,-0.493793237260226,-0.512849465592563
"X88",-0.781578652517034,0.00482446444281023,88,-0.776754188074224,-0.786403116959844
"X89",-0.556142018545823,0.00627411374432288,89,-0.5498679048015,-0.562416132290145
"X90",-0.579715499831425,0.00587631369962397,90,-0.573839186131801,-0.585591813531048
"X91",-0.703222334068167,0.00171947600141389,91,-0.701502858066753,-0.704941810069581
"X92",-0.526099590831013,0.00895418312972968,92,-0.517145407701283,-0.535053773960742
"X93",-0.944893647985771,0.0115034775398016,93,-0.93339017044597,-0.956397125525573
"X94",-0.69128665187535,0.00191398197153427,94,-0.689372669903816,-0.693200633846884
"X95",-0.538871624248409,0.00455506597025015,95,-0.534316558278158,-0.543426690218659
"X96",-0.786022948800823,0.00816019839660278,96,-0.77786275040422,-0.794183147197426
"X97",-0.45194543230632,0.00666104230869464,97,-0.445284389997625,-0.458606474615014
"X98",-0.549935841318796,0.00902074960647525,98,-0.540915091712321,-0.558956590925271
"X99",-0.650671418675441,0.00194391709850812,99,-0.648727501576933,-0.652615335773949
"X100",-0.520507980631896,0.00932413773362199,100,-0.511183842898274,-0.529832118365518
"X101",-0.655448777555061,0.00184190968859719,101,-0.653606867866464,-0.657290687243659
"X102",-0.507830426374841,0.00363919153501562,102,-0.504191234839825,-0.511469617909857
"X103",-0.344292131972379,0.0075955475849882,103,-0.336696584387391,-0.351887679557367
