"","sum","sd","subj","upper","lower"
"X41",-0.537986540198313,0.030456747282965,41,-0.507529792915348,-0.568443287481278
"X42",-0.972498439988046,0.192822900842199,42,-0.779675539145847,-1.16532134083025
"X43",-0.739927354378544,0.0872260944454774,43,-0.652701259933067,-0.827153448824022
"X44",-0.847919322651357,0.121454374444401,44,-0.726464948206955,-0.969373697095758
"X45",-0.716729522222816,0.0295998179360074,45,-0.687129704286809,-0.746329340158823
"X46",-0.605722680700832,0.0761933147822319,46,-0.5295293659186,-0.681915995483064
"X47",-0.493309526584077,0.0851830549091085,47,-0.408126471674969,-0.578492581493186
"X48",-0.350875010427706,0.0612104676715641,48,-0.289664542756142,-0.41208547809927
"X49",-0.460378097899424,0.119072858717124,49,-0.3413052391823,-0.579450956616548
"X50",-0.335162782284176,0.0681377966582689,50,-0.267024985625907,-0.403300578942445
"X51",-0.588053235596899,0.101348245069183,51,-0.486704990527716,-0.689401480666082
"X52",-0.623498962729007,0.0400648084436888,52,-0.583434154285318,-0.663563771172695
"X53",-0.701457285340342,0.0107535054757727,53,-0.69070377986457,-0.712210790816115
"X54",-0.731202928242305,0.0457735873849879,54,-0.685429340857317,-0.776976515627293
"X55",-0.681379030291131,0.0569428690396666,55,-0.624436161251464,-0.738321899330798
"X56",-1.27616303466507,0.173175973173069,56,-1.102987061492,-1.44933900783813
"X57",-0.744669489548221,0.0384830038153257,57,-0.706186485732895,-0.783152493363547
"X58",-1.02813095971159,0.188052859162708,58,-0.84007810054888,-1.2161838188743
"X59",-0.681191635955001,0.0382469158561992,59,-0.642944720098801,-0.7194385518112
"X60",-0.547011825287035,0.0707416940625973,60,-0.476270131224438,-0.617753519349632
"X61",-0.850980642823354,0.0812470226689782,61,-0.769733620154376,-0.932227665492332
"X62",-0.591239783861519,0.04109357314262,62,-0.550146210718899,-0.632333357004139
"X63",-0.547343502015155,0.168848322665213,63,-0.378495179349942,-0.716191824680368
"X64",-0.754676647532282,0.0440831646351239,64,-0.710593482897158,-0.798759812167406
"X65",-0.620385515135179,0.0555666752491954,65,-0.564818839885984,-0.675952190384375
"X66",-0.70857612078787,0.0227675080694125,66,-0.685808612718458,-0.731343628857283
"X67",-0.562202967411889,0.0314823644009938,67,-0.530720603010895,-0.593685331812883
"X68",-0.584060223277875,0.020302004387444,68,-0.563758218890431,-0.604362227665319
"X69",-0.715766296690329,0.0327752127767002,69,-0.682991083913629,-0.748541509467029
"X70",-0.565458977782131,0.0217649773373404,70,-0.543694000444791,-0.587223955119471
"X71",-0.71100250279636,0.0280858365056282,71,-0.682916666290732,-0.739088339301988
"X72",-0.699839302001764,0.0118717092560438,72,-0.68796759274572,-0.711711011257808
"X73",-0.701916637801847,0.0145805587701857,73,-0.687336079031662,-0.716497196572033
"X74",-0.696496800341385,0.0218906035851105,74,-0.674606196756274,-0.718387403926495
"X75",-0.410707133930252,0.063755820997893,75,-0.346951312932359,-0.474462954928145
"X76",-0.774035928733482,0.0725172428242826,76,-0.7015186859092,-0.846553171557765
"X77",-0.699518814345128,0.0185008694686466,77,-0.681017944876481,-0.718019683813774
"X78",-0.543915839793997,0.0308729615937169,78,-0.51304287820028,-0.574788801387713
"X79",-0.543894241831424,0.132470530630197,79,-0.411423711201227,-0.676364772461622
"X80",-0.570506075408763,0.0499561356677313,80,-0.520549939741031,-0.620462211076494
"X81",-0.746088689271542,0.047496359153348,81,-0.698592330118194,-0.79358504842489
"X82",-0.683540824855167,0.0160199869082863,82,-0.66752083794688,-0.699560811763453
