"","X","sum","sd","subj","upper","lower"
"93","X93",-0.726023504690069,0.122034933670532,93,-0.603988571019537,-0.848058438360601
"94","X94",-0.457721392660068,0.0696643512323257,94,-0.388057041427742,-0.527385743892394
"95","X95",-0.337261894984899,0.0634868635533668,95,-0.273775031431532,-0.400748758538266
"96","X96",-1.64425908172438,0.360355294621443,96,-1.28390378710294,-2.00461437634582
"97","X97",-0.460608491410994,0.0637946455760453,97,-0.396813845834948,-0.524403136987039
"98","X98",-0.716455993847901,0.122536380864827,98,-0.593919612983074,-0.838992374712729
"99","X99",-0.208926988310162,0.121438273161589,99,-0.0874887151485724,-0.330365261471751
"100","X100",-0.667434068414278,0.101189954553733,100,-0.566244113860545,-0.768624022968011
"101","X101",-0.648907710926198,0.0415493387993995,101,-0.607358372126798,-0.690457049725597
"102","X102",-0.684982272650674,0.041111567689242,102,-0.643870704961432,-0.726093840339916
"103","X103",-0.0655601982549895,0.0448523239346658,103,-0.0207078743203238,-0.110412522189655
"104","X104",-0.544880856925204,0.0866510415730146,104,-0.45822981535219,-0.631531898498219
"105","X105",-0.286948376337485,0.108475524722437,105,-0.178472851615048,-0.395423901059922
"106","X106",-0.907113944716563,0.115534722008676,106,-0.791579222707887,-1.02264866672524
"107","X107",-0.612481978793614,0.0407244134569519,107,-0.571757565336662,-0.653206392250566
"108","X108",-0.353718763286092,0.0666367778300421,108,-0.28708198545605,-0.420355541116134
"109","X109",-1.01089921145768,0.397371706992829,109,-0.613527504464846,-1.4082709184505
"110","X110",-0.693195485388854,0.116359946299234,110,-0.57683553908962,-0.809555431688087
"111","X111",-1.97275829873104,0.920173358506542,111,-1.05258494022449,-2.89293165723758
"112","X112",-0.918514212559598,0.120787785800526,112,-0.797726426759072,-1.03930199836012
"113","X113",-0.527207985966813,0.0827041637410337,113,-0.444503822225779,-0.609912149707847
"114","X114",-0.709378109504358,0.0853317514261453,114,-0.624046358078213,-0.794709860930503
"115","X115",-0.564188445479744,0.0866887627206404,115,-0.477499682759104,-0.650877208200385
"116","X116",-0.63593722523137,0.0425228114584948,116,-0.593414413772875,-0.678460036689864
"117","X117",-0.780224141366776,0.112838671383592,117,-0.667385469983185,-0.893062812750368
"118","X118",-0.621463044325994,0.0366992135235927,118,-0.584763830802401,-0.658162257849587
"119","X119",-0.566012759417427,0.0696505693080127,119,-0.496362190109414,-0.63566332872544
