"","X","sum","sd","subj","upper","lower"
"69","X69",-0.403088870927156,0.0922028468908703,69,-0.310886024036286,-0.495291717818026
"70","X70",-0.415815810744274,0.0871747869064655,70,-0.328641023837809,-0.50299059765074
"71","X71",-0.401571926544937,0.0572386398438247,71,-0.344333286701112,-0.458810566388761
"72","X72",-0.619704203788004,0.063757568036281,72,-0.555946635751723,-0.683461771824285
"73","X73",-0.787365438309778,0.0886541197600447,73,-0.698711318549733,-0.876019558069823
"74","X74",-0.291952147752321,0.107458415567937,74,-0.184493732184384,-0.399410563320258
"75","X75",-0.274519909210721,0.127606803092073,75,-0.146913106118648,-0.402126712302793
"76","X76",-0.940911607375987,0.141282585330881,76,-0.799629022045106,-1.08219419270687
"77","X77",-0.652055319597866,0.0389513569524241,77,-0.613103962645442,-0.69100667655029
"78","X78",-0.670346078308994,0.058304844334694,78,-0.6120412339743,-0.728650922643687
"79","X79",-0.749468816988657,0.0461441775590314,79,-0.703324639429625,-0.795612994547688
"80","X80",-0.10600953386449,0.0359595866980812,80,-0.0700499471664092,-0.141969120562572
"81","X81",-0.74975176007341,0.123022648416212,81,-0.626729111657198,-0.872774408489622
"82","X82",-0.0954395243263321,0.0310859979588838,82,-0.0643535263674484,-0.126525522285216
"83","X83",-0.683557928759385,0.0765115340940632,83,-0.607046394665322,-0.760069462853448
"84","X84",-0.996821642020076,0.225972843879233,84,-0.770848798140843,-1.22279448589931
"85","X85",-0.493831145967585,0.0319631098953604,85,-0.461868036072224,-0.525794255862945
"86","X86",-0.607915315824217,0.0587400042167651,86,-0.549175311607452,-0.666655320040982
"87","X87",-0.813865400237386,0.0833235525773943,87,-0.730541847659991,-0.89718895281478
"88","X88",-0.838291817352003,0.372489265009204,88,-0.465802552342799,-1.21078108236121
"89","X89",-0.43451344254727,0.03949128743019,89,-0.39502215511708,-0.47400472997746
"90","X90",-0.72142077054837,0.210331770322432,90,-0.511089000225937,-0.931752540870802
"91","X91",-0.774017426428597,0.0744674931728642,91,-0.699549933255733,-0.848484919601461
"92","X92",-0.402192661141262,0.0303334266704727,92,-0.371859234470789,-0.432526087811734
"93","X93",-0.640645367999372,0.0527329656636705,93,-0.587912402335701,-0.693378333663042
"94","X94",-0.431026640479242,0.0442800226401912,94,-0.386746617839051,-0.475306663119434
"95","X95",-0.351040141972394,0.0679643515136103,95,-0.283075790458783,-0.419004493486004
"96","X96",-1.18414233359198,0.202886408770776,96,-0.981255924821205,-1.38702874236276
"97","X97",-0.391724409145201,0.0235179906746981,97,-0.368206418470503,-0.415242399819899
"98","X98",-0.615132921693027,0.0551193759417967,98,-0.560013545751231,-0.670252297634824
"99","X99",-0.211825871172533,0.0706885365857338,99,-0.1411373345868,-0.282514407758267
"100","X100",-0.646702236195345,0.0802150068186696,100,-0.566487229376675,-0.726917243014014
"101","X101",-0.630755041952174,0.031051116755102,101,-0.599703925197072,-0.661806158707276
"102","X102",-0.658155713772546,0.0241113327010748,102,-0.634044381071471,-0.682267046473621
"103","X103",-0.0723253748418202,0.036384133231058,103,-0.0359412416107622,-0.108709508072878
"104","X104",-0.494343854462127,0.0634187838029849,104,-0.430925070659142,-0.557762638265112
"105","X105",-0.254662043090531,0.0653079672103556,105,-0.189354075880175,-0.319970010300886
"106","X106",-0.792841419543586,0.0703581532377694,106,-0.722483266305816,-0.863199572781355
"107","X107",-0.597773185321426,0.0258600183117248,107,-0.571913167009701,-0.623633203633151
"108","X108",-0.303983100111486,0.0261071248109431,108,-0.277875975300543,-0.330090224922429
"109","X109",-0.660234313721784,0.0749203010020371,109,-0.585314012719747,-0.735154614723821
"110","X110",-0.648343556811275,0.0842968100322198,110,-0.564046746779055,-0.732640366843495
"111","X111",-1.62074014465397,0.480956824978763,111,-1.13978331967521,-2.10169696963274
"112","X112",-0.87881504032078,0.102900039063812,112,-0.775915001256968,-0.981715079384592
"113","X113",-0.489201990559424,0.044836992881785,113,-0.444364997677639,-0.534038983441209
"114","X114",-0.64185216190859,0.047056567752414,114,-0.594795594156176,-0.688908729661004
"115","X115",-0.479504172842613,0.0309668342706733,115,-0.448537338571939,-0.510471007113286
"116","X116",-0.633340962849215,0.0269788742835038,116,-0.606362088565711,-0.660319837132719
"117","X117",-0.730378992383109,0.0838902158868319,117,-0.646488776496277,-0.814269208269941
"118","X118",-0.635801128465836,0.0424731431514554,118,-0.59332798531438,-0.678274271617291
"119","X119",-0.575643250953121,0.0615149740546519,119,-0.514128276898469,-0.637158225007773
"120","X120",-0.619305429842496,0.0488122170656764,120,-0.57049321277682,-0.668117646908172
"121","X121",-0.690369781265251,0.0936991994866022,121,-0.596670581778648,-0.784068980751853
"122","X122",-0.33383420391911,0.0381092723837231,122,-0.295724931535387,-0.371943476302833
"123","X123",-0.409107293851759,0.0859940858122902,123,-0.323113208039468,-0.495101379664049
"124","X124",-0.977603930307985,0.101141518518072,124,-0.876462411789913,-1.07874544882606
"125","X125",-0.354005869707356,0.0684296771182915,125,-0.285576192589065,-0.422435546825648
"126","X126",-0.742142403441938,0.0459396093902652,126,-0.696202794051673,-0.788082012832203
"127","X127",-0.177735596134225,0.0206523490601719,127,-0.157083247074053,-0.198387945194397
"128","X128",-0.316077796763399,0.0308436289049957,128,-0.285234167858403,-0.346921425668395
"129","X129",-0.721034532997813,0.0341085099395012,129,-0.686926023058312,-0.755143042937314
"130","X130",-0.679337542517453,0.036845201403918,130,-0.642492341113535,-0.716182743921371
"131","X131",-0.610944409446455,0.0802794939617027,131,-0.530664915484753,-0.691223903408158
"132","X132",-0.177988969703098,0.0171452270023162,132,-0.160843742700782,-0.195134196705414
"133","X133",-0.692215725557172,0.0278875348577324,133,-0.66432819069944,-0.720103260414904
"134","X134",-0.253703303465983,0.0783124408249743,134,-0.175390862641009,-0.332015744290957
