"","X","sum","sd","subj","upper","lower"
"77","X77",-0.677137214459199,0.00375895747219033,77,-0.673378256987008,-0.680896171931389
"78","X78",-0.625665085485034,0.00208822469003914,78,-0.623576860794995,-0.627753310175073
"79","X79",-0.71585561546399,0.00259965151863596,79,-0.713255963945354,-0.718455266982626
"80","X80",-0.216555436200023,0.00713320719642539,80,-0.209422229003598,-0.223688643396449
"81","X81",-0.756101588012918,0.00823143189045676,81,-0.747870156122461,-0.764333019903374
"82","X82",-0.21341467813668,0.00706932148197437,82,-0.206345356654705,-0.220483999618654
"83","X83",-0.704333743263565,0.00529550928405181,83,-0.699038233979513,-0.709629252547617
"84","X84",-0.820020081228043,0.0112667565589513,84,-0.808753324669092,-0.831286837786995
"85","X85",-0.642686679386699,0.00511992539103784,85,-0.637566753995661,-0.647806604777737
"86","X86",-0.655685598277576,0.00399416743201136,86,-0.651691430845565,-0.659679765709588
"87","X87",-0.768437483299666,0.00628632390705059,87,-0.762151159392616,-0.774723807206717
"88","X88",-0.383849325290952,0.00910939414935732,88,-0.374739931141595,-0.392958719440309
"89","X89",-0.670664484689466,0.00432427946686776,89,-0.666340205222598,-0.674988764156334
"90","X90",-0.573391743546812,0.0219321182884006,90,-0.551459625258411,-0.595323861835212
"91","X91",-0.704452748602848,0.00317240686664982,91,-0.701280341736199,-0.707625155469498
"92","X92",-0.78926006132657,0.00790994785617485,92,-0.781350113470395,-0.797170009182744
"93","X93",-0.737038224355047,0.00515558987623664,93,-0.73188263447881,-0.742193814231283
"94","X94",-0.681131375860135,0.00735963958467952,94,-0.673771736275456,-0.688491015444815
"95","X95",-0.801461931850027,0.00950473075710286,95,-0.791957201092924,-0.81096666260713
"96","X96",-0.724652638187878,0.00943322912220989,96,-0.715219409065668,-0.734085867310088
"97","X97",-0.790830914489828,0.007960108873061,97,-0.782870805616767,-0.798791023362889
"98","X98",-0.775443150151871,0.0109815575231715,98,-0.7644615926287,-0.786424707675043
"99","X99",-0.288269616773126,0.00792406273344142,99,-0.280345554039685,-0.296193679506567
"100","X100",-0.649853854376684,0.00474537142017923,100,-0.645108482956505,-0.654599225796863
"101","X101",-0.695768353945595,0.00190660570028176,101,-0.693861748245313,-0.697674959645876
"102","X102",-0.650729593300854,0.00267530584800835,102,-0.648054287452846,-0.653404899148863
"103","X103",-0.240716753912545,0.00742039774402491,103,-0.23329635616852,-0.24813715165657
"104","X104",-0.683281511358992,0.00778459226949733,104,-0.675496919089495,-0.69106610362849
"105","X105",-0.616081812402487,0.00850364419161089,105,-0.607578168210876,-0.624585456594097
"106","X106",-0.670364947135755,0.00213582960668122,106,-0.668229117529074,-0.672500776742437
"107","X107",-0.680957376057434,0.00176811609154948,107,-0.679189259965885,-0.682725492148983
"108","X108",-0.805504019831022,0.00925469128754884,108,-0.796249328543473,-0.814758711118571
"109","X109",-0.660549950713743,0.00838959948293489,109,-0.652160351230808,-0.668939550196678
"110","X110",-0.510807726383527,0.00594095336864553,110,-0.504866773014882,-0.516748679752173
