"","sum","sd","subj","upper","lower"
"X27",-0.231285615125769,0.135078422659225,27,-0.0962071924665444,-0.366364037784994
"X28",-0.600261597413154,0.0434671091563134,28,-0.556794488256841,-0.643728706569467
"X29",-0.597595394364022,0.0625425249443491,29,-0.535052869419673,-0.660137919308371
"X30",-1.09741685801576,0.312230195103407,30,-0.785186662912353,-1.40964705311917
"X31",-0.718705142997736,0.56205653809409,31,-0.156648604903646,-1.28076168109183
"X32",-0.724345011293772,0.0687493869926034,32,-0.655595624301169,-0.793094398286376
"X33",-0.644380562001147,0.107674959566277,33,-0.536705602434869,-0.752055521567424
"X34",-0.147197438246414,0.026368688751403,34,-0.120828749495011,-0.173566126997817
"X35",-0.693636026662797,0.0480917634463821,35,-0.645544263216415,-0.741727790109179
"X36",-0.671327973235753,0.0357659368396929,36,-0.63556203639606,-0.707093910075445
"X37",-0.782959411262528,0.135732841323013,37,-0.647226569939515,-0.918692252585541
"X38",-0.617833938164704,0.023993934128242,38,-0.593840004036462,-0.641827872292946
"X39",-0.36229830486949,0.0712552235548856,39,-0.291043081314604,-0.433553528424376
"X40",-0.984559901641527,0.122439066481107,40,-0.86212083516042,-1.10699896812263
"X41",-0.541538570615511,0.0434910039412523,41,-0.498047566674258,-0.585029574556763
"X42",-0.10816298220327,0.0643916734963543,42,-0.0437713087069158,-0.172554655699624
"X43",-0.64979061564565,0.135682643828132,43,-0.514107971817518,-0.785473259473781
"X44",-0.884953308151109,0.330673587688917,44,-0.554279720462192,-1.21562689584003
"X45",-0.739929718024684,0.0633408563809261,45,-0.676588861643758,-0.80327057440561
"X46",-0.620658996578283,0.0982077549902899,46,-0.522451241587993,-0.718866751568573
"X47",-0.0947536819241104,0.0644415115822597,47,-0.0303121703418507,-0.15919519350637
"X48",-0.776186322754149,0.154478590703894,48,-0.621707732050255,-0.930664913458044
"X49",-0.518589716606268,0.150569932194979,49,-0.36801978441129,-0.669159648801247
"X50",-0.250237282752243,0.10374363760102,50,-0.146493645151223,-0.353980920353264
