"name","game","prob",,"c","r","N",
,3,0.6,0.8,1,1,,
,3,0.6,0.8,1,0,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,0,,
,3,0.6,0.8,1,0,,
,3,0.6,0.8,1,0,,
,3,0.6,0.8,1,1,,
,3,0.6,0.8,1,0,,
,3,0.6,0.8,2,0,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,3,0.6,0.8,2,1,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,0,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,0,,
,4,0.8,0.6,1,0,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,0,,
,4,0.8,0.6,2,1,,
,4,0.8,0.6,2,0,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,1,,
,4,0.8,0.6,1,0,,
,4,0.8,0.6,2,0,,
,4,0.8,0.6,1,0,,
,4,0.8,0.6,1,1,,

"name","game","prob",,"c","r","N",
"16994_1381579827262.csv",1,0.4,0.2,1,1,100,
,1,0.4,0.2,1,1,,
